Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
NY.ADJ.NNTY.PC.KD.ZG,1.42290798128812,0.420454739663768,0.906753715840793,2.10568391360731,1.77767307288723,1.26024615330327,1.27525191829267,-0.502726698663039,-0.291862405370026,3.24498578182337,0.347976302010778,4.74111241100704,2.95572958924721,-0.643956400306152,-4.00922127790049,3.88048842430011,5.84406731493313,-0.358837394673699,0.287555424103076,2.11232994616239,2.21097360920244,2.32285688460007,1.7149437730082,0.68964862372107,0
NY.ADJ.NNTY.PC.KD,29387.1851125879,29510.7449252476,29778.3347014295,30405.3723049777,30945.8804211544,31335.8746887678,31735.4860318501,31575.9432706175,31483.7849630696,32505.4293087011,32618.5404995622,34165.0221714763,35174.8478409715,34948.3371570016,33547.1809874307,34848.975462327,36885.5730469099,36753.2138175779,36858.8996774425,37637.4812531551,38469.6360308309,39363.2306198536,40038.2878922237,40314.4113936339,0
NY.ADJ.NNTY.PC.CD,26437.2315613938,25447.5773621204,22430.9667474858,22614.3884276517,22102.6523469549,19499.4949397195,19428.4088404914,20510.2282996926,24727.5187909439,28410.1066189043,28837.7174928191,30765.5267577578,35115.1542477032,37929.0899609728,34718.0568508062,34848.975462327,39510.7884511178,36959.5608795848,38933.8422792385,40300.8996334802,34715.7157537531,35641.2249547576,37448.0570402536,40265.277396313,0
NY.ADJ.SVNX.GN.ZS,10.5068826239746,9.74967966603394,9.98560467902936,10.2758750418161,9.55888398845592,9.2239918660926,8.99494630327651,8.98998972821214,8.16287335225301,10.7191350341932,10.4097643468103,12.7735796193703,14.8048822155239,13.3872213872368,9.86595205691372,11.6814244768848,13.7760420344747,12.5956438450841,12.1075817933607,13.3736865379239,14.1691994844543,14.4093136913985,14.4194104135915,14.5295869480381,0
NY.ADJ.SVNX.CD,271313976557.583,243507999338.864,220459184422.207,228759475005.902,208290949773.651,178226893235.828,173642940911.601,183996321769.372,201685825925.462,302939906682.355,298687368403.029,388674480658.199,513864137306.839,504087789003.571,342782638265.41,404700614716.779,529039964645.728,454952136555.67,462410342335.672,529830689047.546,486998220120.592,511838995357.643,540774032623.004,589614997227.47,0
NY.ADJ.SVNG.GN.ZS,10.397061938181,9.6418319873823,9.88269816312989,10.178730507365,9.46473887052994,9.13285699392032,8.90651622967014,8.89983912709404,8.07180291750548,10.6327367320045,10.3222227786033,12.6919981629625,14.7251614818093,13.3073589504377,9.78118526793617,11.5999446429761,13.697427553569,12.5192624522529,12.0290166000984,13.2981087330566,14.0915257915141,14.3320817955233,14.3417394579209,14.4519159923676,0
NY.ADJ.SVNG.CD,268478131898.68,240814395716.86,218187245236.133,226596862808.859,206239499410.508,176465976122.228,171935842555.667,182151227446.408,199435684944.85,300498152425.219,296175538186.463,386192120102.622,511097102388.267,501080616863.362,339837500949.174,401877762166.979,526020940596.954,452193255922.885,459409796187.64,526836492920.996,484328559759.499,509095610291.5,537861123238.301,586463086545.074,0
NY.ADJ.DCO2.GN.ZS,0.385286909197149,0.430140920830145,0.494182382431765,0.506386613323755,0.519765594247512,0.622878422143397,0.674963088366282,0.647424915406723,0.557960034836869,0.512186800011327,0.522935999522713,0.535946719844338,0.475072354860668,0.459831170158933,0.478583708633787,0.525454793725138,0.481137429317808,0.542401422586581,0.550314857315701,0.529249238382605,0.631574572705789,0.635876558532163,0.633137900312614,0.612685123830499,0
NY.ADJ.DCO2.CD,9949071212.74338,10743199638.6537,10910410384.6138,11273077508.4908,11325848228.3316,12035319160.4969,13029824939.3669,13250716258.6463,13785909152.7389,14475218467.2001,15004602634.3052,16307786791.4235,16489333872.0944,17314666813.6325,16627912372.7723,18204276237.6487,18477072584.3489,19591430903.5428,21017514967.6298,20967478776.699,21707344378.8125,22587225586.2444,23744697303.004,24862946130.5788,0
NY.ADJ.DKAP.GN.ZS,16.347058421136,16.5023728219329,16.6169704468815,16.632475828051,16.7053629088952,16.9840894863102,17.0449759504549,17.2746402202883,17.3441056832724,16.9885819223949,17.0393947191406,16.61564294818,16.6915485759571,17.1524529296307,18.0735622386398,17.6625013347652,17.3080001316904,17.6197590745973,17.7246760246229,17.5765238577364,17.4627470721416,17.3540636457898,17.4385774061787,17.7064373561777,0
